KSSS,MAPE_ML,MAPE_weights,MAPE_cur,Способ прогноза,Детали прогноза
1059,8.123,9.94,10.801,МЛ,SARIMAX
1060,5.629,6.63,7.147,МЛ,RandomForest
1062,6.102,7.41,8.406,МЛ,SARIMAX
1063,13.4,10.72,12.08,веса,"(0.01, 0.01, 0.98)"
1064,6.805,8.75,11.557,МЛ,RandomForest
1066,7.167,9.01,8.956,МЛ,RandomForest
1067,8.589,13.06,14.612,МЛ,SARIMAX
1068,10.583,10.04,11.529,веса,"(0.16, 0.26, 0.58)"
1071,7.344,8.77,8.608,МЛ,RandomForest
1072,7.482,23.13,30.395,МЛ,RandomForest
1073,7.013,8.98,11.817,МЛ,RandomForest
1077,6.035,9.05,12.853,МЛ,SARIMAX
1078,10.222,10.06,10.37,веса,"(0.19, 0.29, 0.52)"
1079,12.265,88.48,38.958,МЛ,RandomForest
1081,4.912,9.2,9.473,МЛ,SARIMAX
1083,9.302,10.12,12.493,МЛ,SARIMAX
1084,6.521,8.19,9.72,МЛ,SARIMAX
1087,8.129,13.65,16.217,МЛ,HoltWinters
1089,7.126,11.36,12.026,МЛ,RandomForest
1094,9.601,10.77,13.597,МЛ,RandomForest
1095,6.826,12.93,13.644,МЛ,HoltWinters
1097,13.41,9.29,12.241,веса,"(0.03, 0.00, 0.97)"
1101,8.338,7.31,9.247,веса,"(0.07, 0.02, 0.91)"
1102,9.516,9.72,12.241,МЛ,RandomForest
1104,6.001,7.7,10.267,МЛ,SARIMAX
1106,5.255,7.65,8.736,МЛ,SARIMAX
1110,6.565,7.24,9.591,МЛ,RandomForest
1115,14.392,18.48,21.358,МЛ,SARIMAX
1116,8.734,11.46,15.454,МЛ,SARIMAX
1119,8.197,14.21,15.592,МЛ,RandomForest
1120,43.247,21.62,26.68,веса,"(0.08, 0.16, 0.76)"
1121,7.719,16.01,12.918,МЛ,SARIMAX
1122,8.671,14.35,15.77,МЛ,SARIMAX
1252,11.538,14.67,16.495,МЛ,SARIMAX
1254,5.629,14.67,11.777,МЛ,SARIMAX
1255,4.447,11.05,9.829,МЛ,RandomForest
1256,6.61,46.03,25.516,МЛ,HoltWinters
1257,10.609,19.25,13.113,МЛ,RandomForest
1259,8.152,9.39,14.207,МЛ,RandomForest
1260,7.844,11.03,15.65,МЛ,SARIMAX
1261,7.297,10.35,10.491,МЛ,RandomForest
1262,8.666,17.1,18.937,МЛ,SARIMAX
1263,15.715,14.39,14.763,веса,"(0.60, 0.02, 0.38)"
1264,11.939,13.9,14.93,МЛ,RandomForest
1265,15.883,36.18,58.408,МЛ,SARIMAX
1266,6.511,8.06,7.924,МЛ,RandomForest
1268,10.645,11.45,11.727,МЛ,RandomForest
1269,12.559,18.73,18.984,МЛ,HoltWinters
1270,11.211,12.19,10.174,старая,старая
1271,170.296,71.8,96.877,веса,"(1.00, 0.00, 0.00)"
1273,6.865,14.31,12.182,МЛ,SARIMAX
1274,6.453,10.06,11.379,МЛ,RandomForest
1275,7.605,16.89,17.16,МЛ,RandomForest
1278,3.745,15.26,26.631,МЛ,SARIMAX
1279,4.724,7.5,9.266,МЛ,SARIMAX
1752,8.664,10.36,10.793,МЛ,RandomForest
1756,4.919,6.59,8.68,МЛ,RandomForest
1767,16.162,10.22,9.974,старая,старая
1777,8.585,7.84,9.123,веса,"(0.10, 0.09, 0.81)"
1779,17.71,18.3,10.636,старая,старая
1780,16.552,13.48,16.45,веса,"(0.00, 0.09, 0.91)"
1781,6.094,6.93,8.366,МЛ,HoltWinters
1783,19.264,16.73,12.924,старая,старая
1785,17.049,17.74,13.995,старая,старая
1788,11.061,11.72,18.038,МЛ,RandomForest
1789,8.007,25.92,14.01,МЛ,RandomForest
1794,6.496,19.03,21.873,МЛ,RandomForest
1798,22.271,15.14,13.624,старая,старая
1801,11.348,10.13,10.974,веса,"(0.10, 0.00, 0.90)"
1809,10.352,55.89,14.663,МЛ,HoltWinters
1810,17.321,21.19,18.818,МЛ,RandomForest
1811,11.441,19.81,25.121,МЛ,RandomForest
1814,6.966,9.21,10.361,МЛ,RandomForest
1823,9.531,11.39,12.051,МЛ,RandomForest
1827,12.983,16.49,12.76,старая,старая
1831,39.347,25.36,15.931,старая,старая
1834,14.02,13.73,10.351,старая,старая
1835,17.026,12.15,10.978,старая,старая
1837,11.294,12.18,13.726,МЛ,RandomForest
1845,13.183,30.11,39.104,МЛ,HoltWinters
1846,7.179,13.96,13.144,МЛ,SARIMAX
1855,21.433,26.17,27.087,МЛ,RandomForest
1856,1901.081,373.79,747.991,веса,"(0.00, 0.00, 1.00)"
1858,22.656,24.72,25.793,МЛ,RandomForest
1859,12.745,24.91,13.555,МЛ,RandomForest
1861,13.733,14.18,14.114,МЛ,SARIMAX
1862,11.146,14.84,14.789,МЛ,RandomForest
1863,10.358,17.4,19.276,МЛ,RandomForest
1864,20.181,16.73,11.738,старая,старая
1867,213.023,129.9,16.877,старая,старая
1873,13.761,24.15,22.421,МЛ,SARIMAX
1874,19.109,12.14,12.293,веса,"(0.39, 0.31, 0.30)"
1875,11.294,12.16,13.847,МЛ,RandomForest
1876,5.944,20.05,12.771,МЛ,RandomForest
1880,10.97,15.24,16.334,МЛ,RandomForest
1883,7.325,11.26,15.304,МЛ,SARIMAX
1884,8.557,18.77,14.129,МЛ,HoltWinters
1885,7.028,25.52,14.441,МЛ,HoltWinters
1886,8.414,12.94,9.506,МЛ,SARIMAX
1888,8.597,12.29,11.801,МЛ,SARIMAX
1890,7.17,11.25,10.162,МЛ,HoltWinters
1892,5.123,14.29,8.529,МЛ,HoltWinters
1893,10.513,15.55,14.732,МЛ,HoltWinters
1894,7.045,16.65,13.558,МЛ,SARIMAX
1895,14.118,12.41,11.756,старая,старая
1897,5.764,11.91,11.501,МЛ,RandomForest
1898,20.739,18.62,17.898,старая,старая
1900,5.549,11.39,13.93,МЛ,SARIMAX
1904,6.603,14.35,13.002,МЛ,HoltWinters
1905,5.492,10.27,9.593,МЛ,SARIMAX
1907,5.608,43.0,24.367,МЛ,HoltWinters
1908,5.458,13.37,23.691,МЛ,HoltWinters
1909,5.916,10.98,10.029,МЛ,SARIMAX
1910,11.185,15.16,13.284,МЛ,SARIMAX
1911,9.939,20.06,19.076,МЛ,HoltWinters
1914,6.71,11.58,10.387,МЛ,HoltWinters
1915,10.791,27.88,28.448,МЛ,HoltWinters
1916,7.583,12.95,11.037,МЛ,HoltWinters
1917,8.35,17.85,13.787,МЛ,HoltWinters
1918,5.838,8.1,9.705,МЛ,SARIMAX
1919,10.504,18.98,16.952,МЛ,HoltWinters
1920,6.266,11.94,11.595,МЛ,HoltWinters
1921,5.338,21.92,15.423,МЛ,SARIMAX
1935,11.32,153.57,35.71,МЛ,HoltWinters
1941,13.223,17.6,15.093,МЛ,RandomForest
1943,18.305,27.28,20.539,МЛ,HoltWinters
1947,5.508,7.39,7.538,МЛ,RandomForest
1948,11.133,21.09,20.999,МЛ,HoltWinters
1949,5.062,8.29,7.673,МЛ,RandomForest
1954,9.136,12.64,13.946,МЛ,HoltWinters
1955,5.017,9.18,9.038,МЛ,HoltWinters
1956,7.38,14.37,37.014,МЛ,HoltWinters
1957,7.917,12.02,11.907,МЛ,RandomForest
1960,11.942,11.54,13.396,веса,"(0.25, 0.07, 0.68)"
1963,11.024,12.12,10.217,старая,старая
1964,9.613,13.12,18.264,МЛ,RandomForest
1969,5.766,8.76,8.062,МЛ,RandomForest
1973,9.488,13.37,15.522,МЛ,RandomForest
1978,12.184,19.34,14.996,МЛ,SARIMAX
1992,14.753,16.35,15.124,МЛ,HoltWinters
1997,14.645,14.87,13.83,старая,старая
2092,5.156,12.03,12.084,МЛ,HoltWinters
2118,14.919,14.48,14.776,веса,"(0.09, 0.26, 0.65)"
2136,10.82,22.25,20.67,МЛ,HoltWinters
2147,7.217,13.95,13.728,МЛ,RandomForest
2150,7.452,14.24,13.459,МЛ,SARIMAX
2153,11.277,12.56,14.514,МЛ,RandomForest
2155,163.229,168.2,43.413,старая,старая
2165,7.87,11.69,11.852,МЛ,SARIMAX
2177,8.596,13.82,13.526,МЛ,RandomForest
2190,9.581,12.44,18.326,МЛ,RandomForest
2192,6.599,8.64,9.437,МЛ,HoltWinters
2193,4.493,9.94,15.459,МЛ,SARIMAX
2195,65.088,22.72,42.19,веса,"(0.00, 0.01, 0.99)"
2200,8.153,9.6,12.931,МЛ,RandomForest
2202,7.117,9.57,12.655,МЛ,RandomForest
2206,7.218,8.76,10.419,МЛ,SARIMAX
2211,7.1,29.19,18.562,МЛ,RandomForest
2223,8.747,12.25,11.864,МЛ,RandomForest
2226,6.127,8.25,9.242,МЛ,RandomForest
2230,19.274,23.67,24.803,МЛ,RandomForest
2235,8.443,8.95,11.01,МЛ,RandomForest
2243,10.733,15.46,18.176,МЛ,RandomForest
2246,12.945,12.78,15.611,веса,"(0.00, 0.37, 0.63)"
2248,13.855,13.18,17.646,веса,"(0.00, 0.00, 1.00)"
2250,7.733,9.46,10.095,МЛ,RandomForest
2252,8.066,17.09,,МЛ,HoltWinters
2263,11.312,14.65,16.693,МЛ,RandomForest
2266,20.185,18.44,17.396,старая,старая
2271,17.204,22.18,19.695,МЛ,RandomForest
2285,35.735,41.8,50.043,МЛ,RandomForest
2287,14.521,11.08,14.391,веса,"(0.00, 0.07, 0.93)"
2300,8.328,10.32,11.225,МЛ,SARIMAX
2301,8.497,10.45,11.199,МЛ,RandomForest
2302,6.394,11.85,17.959,МЛ,SARIMAX
2307,426.598,64.09,94.499,веса,"(0.00, 0.00, 1.00)"
2322,15.549,13.25,18.046,веса,"(0.07, 0.10, 0.83)"
2326,21.086,12.72,10.874,старая,старая
2447,11.188,15.35,15.659,МЛ,RandomForest
2451,22.907,11.64,11.065,старая,старая
2452,7.955,18.35,23.266,МЛ,SARIMAX
2546,67.837,70.49,63.433,старая,старая
2548,11.893,13.67,16.019,МЛ,RandomForest
2549,7.265,10.21,8.098,МЛ,HoltWinters
2588,6.215,8.86,10.061,МЛ,SARIMAX
2602,7.182,10.52,12.055,МЛ,RandomForest
2603,7.983,14.05,17.86,МЛ,SARIMAX
2604,22.678,23.38,13.396,старая,старая
2605,7.238,8.31,9.505,МЛ,RandomForest
2606,14.614,25.91,19.75,МЛ,RandomForest
2607,7.63,9.67,8.464,МЛ,RandomForest
2608,12.473,10.29,11.129,веса,"(0.39, 0.07, 0.54)"
2609,11.141,9.49,8.699,старая,старая
2610,8.134,10.34,11.001,МЛ,SARIMAX
2611,9.668,24.46,24.992,МЛ,HoltWinters
2612,5.518,7.17,8.933,МЛ,HoltWinters
2613,6.285,15.72,12.082,МЛ,RandomForest
2614,8.02,11.91,14.579,МЛ,RandomForest
2615,9.174,15.31,12.096,МЛ,RandomForest
2616,7.558,13.82,13.155,МЛ,RandomForest
2646,7.32,18.59,9.139,МЛ,RandomForest
2648,15.261,109.58,64.118,МЛ,HoltWinters
2649,14.236,11.0,10.931,старая,старая
2651,8.432,89.57,135.53,МЛ,SARIMAX
2653,6.957,8.49,8.796,МЛ,RandomForest
2654,17.571,17.58,14.284,старая,старая
2660,13.12,11.97,12.254,веса,"(0.57, 0.16, 0.27)"
2662,75.901,28.48,38.269,веса,"(0.60, 0.00, 0.40)"
2664,8.793,26.42,15.557,МЛ,SARIMAX
2668,8.293,10.9,11.573,МЛ,SARIMAX
2674,8.372,17.77,14.671,МЛ,HoltWinters
2685,22.239,14.81,11.127,старая,старая
2707,12.772,16.08,12.65,старая,старая
2709,10.349,10.75,9.604,старая,старая
2711,6.081,8.58,10.566,МЛ,RandomForest
2713,7.581,9.57,9.125,МЛ,RandomForest
2715,7.997,30.24,26.246,МЛ,HoltWinters
2717,11.795,828.8,22.173,МЛ,HoltWinters
2726,7.928,10.74,448.315,МЛ,HoltWinters
2729,8.1,9.2,18.026,МЛ,SARIMAX
2735,34.829,648.02,16.522,старая,старая
2736,10.843,10.85,8.798,старая,старая
2738,7.57,7.42,10.853,веса,"(0.02, 0.12, 0.86)"
2741,8.97,11.27,11.958,МЛ,SARIMAX
2749,8.177,12.6,10.737,МЛ,SARIMAX
2750,10.961,14.92,13.021,МЛ,RandomForest
2789,7.021,8.9,9.214,МЛ,SARIMAX
2827,7.607,9.55,9.167,МЛ,RandomForest
2828,15.268,17.44,10.377,старая,старая
2873,5.167,10.96,11.951,МЛ,SARIMAX
2874,6.644,15.06,19.068,МЛ,RandomForest
2875,11.854,13.63,14.43,МЛ,RandomForest
2876,6.429,7.59,8.24,МЛ,RandomForest
2877,4.896,8.75,9.393,МЛ,RandomForest
2880,6.442,15.29,12.559,МЛ,RandomForest
2882,8.531,16.44,12.726,МЛ,HoltWinters
2883,11.325,13.94,14.748,МЛ,HoltWinters
2886,7.122,7.51,9.923,МЛ,SARIMAX
2887,4.68,10.43,10.521,МЛ,SARIMAX
2888,7.209,14.07,9.885,МЛ,HoltWinters
2889,7.809,16.92,21.765,МЛ,HoltWinters
2890,5.367,9.74,7.793,МЛ,HoltWinters
2891,10.7,15.18,12.34,МЛ,RandomForest
2892,7.392,16.54,14.21,МЛ,RandomForest
2893,18.548,32.73,122.688,МЛ,HoltWinters
2894,7.236,9.83,11.554,МЛ,HoltWinters
2896,6.158,9.11,9.43,МЛ,SARIMAX
2899,15.609,31.39,36.575,МЛ,SARIMAX
2900,5.716,13.05,13.886,МЛ,RandomForest
2901,10.183,22.87,26.631,МЛ,SARIMAX
2902,8.842,13.64,13.243,МЛ,SARIMAX
2903,6.082,9.03,10.041,МЛ,SARIMAX
2904,14.399,18.46,24.141,МЛ,HoltWinters
2905,19.245,28.27,24.928,МЛ,HoltWinters
2906,28.422,19.16,15.593,старая,старая
2907,7.09,15.84,11.737,МЛ,HoltWinters
2908,9.217,13.72,11.421,МЛ,RandomForest
2909,17.086,15.3,14.18,старая,старая
2910,7.308,12.54,12.19,МЛ,RandomForest
2911,7.501,9.03,9.828,МЛ,RandomForest
2912,5.148,10.27,9.043,МЛ,HoltWinters
2930,19.277,21.11,12.486,старая,старая
2982,14.575,25.87,15.133,МЛ,RandomForest
2987,14.622,17.95,13.375,старая,старая
2988,5.005,15.8,19.958,МЛ,RandomForest
2993,4.469,12.88,12.305,МЛ,SARIMAX
2994,5.23,712.1,11.144,МЛ,HoltWinters
2995,11.784,26.25,19.597,МЛ,RandomForest
2996,9.427,14.97,13.165,МЛ,RandomForest
2997,7.993,12.47,10.984,МЛ,SARIMAX
2998,6.893,7.28,10.317,МЛ,HoltWinters
2999,8.112,18.97,21.464,МЛ,HoltWinters
3000,8.768,15.09,11.433,МЛ,SARIMAX
3002,14.094,25.33,12.584,старая,старая
3004,6.923,14.97,16.459,МЛ,RandomForest
3006,7.121,24.35,14.925,МЛ,RandomForest
3007,5.614,514.38,34.581,МЛ,RandomForest
3008,5.433,11.41,8.993,МЛ,HoltWinters
3009,5.421,21.91,12.509,МЛ,RandomForest
3011,8.935,16.39,22.432,МЛ,RandomForest
3023,7.326,28.02,23.41,МЛ,HoltWinters
3024,9.34,14.1,11.411,МЛ,HoltWinters
3048,11.755,178.25,16.041,МЛ,RandomForest
3049,7.965,10.72,10.661,МЛ,SARIMAX
3050,12.387,22.36,15.191,МЛ,SARIMAX
3052,12.19,20.73,16.589,МЛ,SARIMAX
3054,10.666,14.0,13.006,МЛ,RandomForest
3056,7.04,44.87,19.341,МЛ,HoltWinters
3057,10.563,17.27,12.058,МЛ,SARIMAX
3059,7.771,24.82,19.188,МЛ,RandomForest
3060,7.227,26.14,18.848,МЛ,SARIMAX
3062,6.754,10.09,10.758,МЛ,HoltWinters
3063,5.545,8.89,9.044,МЛ,HoltWinters
3064,9.143,14.27,11.11,МЛ,HoltWinters
3066,10.11,20.7,19.358,МЛ,HoltWinters
3124,10.221,24.87,20.042,МЛ,RandomForest
3125,7.952,101.71,33.63,МЛ,SARIMAX
3126,5.83,11.32,9.916,МЛ,SARIMAX
3127,4.876,10.36,9.165,МЛ,RandomForest
3129,18.261,15.73,15.287,старая,старая
3132,5.987,10.27,10.745,МЛ,HoltWinters
3133,7.368,19.17,19.835,МЛ,RandomForest
3135,6.378,8.22,9.942,МЛ,HoltWinters
3136,5.303,13.98,26.918,МЛ,HoltWinters
3137,9.514,13.45,18.238,МЛ,RandomForest
3138,3.966,8.54,9.905,МЛ,RandomForest
3139,6.505,12.46,13.888,МЛ,SARIMAX
3140,34.235,21.02,20.053,старая,старая
3141,7.466,52.95,16.192,МЛ,RandomForest
3142,28.411,21.7,24.336,веса,"(0.15, 0.78, 0.07)"
3143,5.911,10.55,11.847,МЛ,HoltWinters
3144,6.1,10.98,9.541,МЛ,HoltWinters
3145,7.684,117.26,17.618,МЛ,RandomForest
3146,11.1,13.67,10.772,старая,старая
3148,8.843,10.72,14.331,МЛ,RandomForest
3150,8.044,18.47,16.569,МЛ,RandomForest
3152,10.851,11.54,14.544,МЛ,SARIMAX
3154,8.52,13.13,14.507,МЛ,HoltWinters
3155,7.029,11.17,10.16,МЛ,HoltWinters
3156,7.604,13.8,14.852,МЛ,RandomForest
3158,9.173,11.1,11.092,МЛ,RandomForest
3159,8.033,20.1,14.257,МЛ,HoltWinters
3161,71.597,10885.03,374.709,МЛ,SARIMAX
3163,5.81,8.82,8.381,МЛ,RandomForest
3165,7.284,11.73,11.448,МЛ,SARIMAX
3168,7.145,12.33,21.948,МЛ,HoltWinters
3171,6.545,9.92,11.085,МЛ,HoltWinters
3172,4.923,114.4,16.658,МЛ,HoltWinters
3173,7.294,16.08,11.989,МЛ,HoltWinters
3174,5.896,12.87,28.786,МЛ,HoltWinters
3175,6.129,9.8,,МЛ,RandomForest
3176,7.13,10.5,10.126,МЛ,SARIMAX
3177,8.425,19.34,11.479,МЛ,HoltWinters
3179,7.459,12.26,11.591,МЛ,SARIMAX
3189,6.089,290.2,22.369,МЛ,HoltWinters
3205,9.743,14.52,11.066,МЛ,RandomForest
3206,6.253,10.05,8.714,МЛ,RandomForest
3207,17.376,23.05,13.865,старая,старая
3208,9.272,13.58,11.881,МЛ,RandomForest
3209,15.521,74.08,,МЛ,RandomForest
3212,6.823,11.28,12.204,МЛ,RandomForest
3213,6.743,10.21,12.688,МЛ,HoltWinters
3215,9.693,14.7,13.672,МЛ,HoltWinters
3216,7.076,13.01,15.065,МЛ,RandomForest
3217,7.259,21.5,11.436,МЛ,HoltWinters
3218,70.965,24.02,31.513,веса,"(0.00, 0.10, 0.90)"
3220,9.184,14.65,14.82,МЛ,RandomForest
3221,6.529,9.53,10.938,МЛ,HoltWinters
3222,7.91,11.04,11.849,МЛ,HoltWinters
3230,7.645,13.59,11.856,МЛ,SARIMAX
3247,7.863,16.68,18.051,МЛ,HoltWinters
3256,8.685,13.61,11.457,МЛ,HoltWinters
3275,7.854,18.52,28.567,МЛ,HoltWinters
3276,7.86,16.57,16.024,МЛ,RandomForest
3309,17.577,27.77,22.692,МЛ,RandomForest
3311,6.286,12.07,43.522,МЛ,HoltWinters
3312,14.455,12.8,12.34,старая,старая
3313,7.6,11.42,13.396,МЛ,RandomForest
3314,6.697,10.24,11.35,МЛ,RandomForest
3315,7.384,8.35,9.26,МЛ,RandomForest
3316,7.112,7.88,9.435,МЛ,SARIMAX
3317,45.835,13.72,11.846,старая,старая
3318,7.28,10.42,10.749,МЛ,HoltWinters
3319,5.825,6.53,11.969,МЛ,HoltWinters
3320,13.696,12.93,13.455,веса,"(0.20, 0.43, 0.37)"
3321,37.664,20.75,23.212,веса,"(0.19, 0.30, 0.51)"
3322,17.747,17.5,18.768,веса,"(0.18, 0.62, 0.20)"
3323,64.084,18.64,24.323,веса,"(0.00, 0.18, 0.82)"
3325,5.038,7.18,9.864,МЛ,RandomForest
3326,9.22,13.99,16.459,МЛ,SARIMAX
3327,5.192,9.02,9.561,МЛ,SARIMAX
3328,5.871,8.91,10.645,МЛ,SARIMAX
3329,6.379,8.42,11.246,МЛ,SARIMAX
3330,5.159,10.33,9.438,МЛ,RandomForest
3331,5.494,8.1,9.252,МЛ,RandomForest
3332,4.841,10.5,10.914,МЛ,RandomForest
3336,4.308,9.08,11.302,МЛ,SARIMAX
3337,9.172,9.96,13.138,МЛ,HoltWinters
3338,6.915,6.86,10.867,веса,"(0.04, 0.01, 0.95)"
3339,7.645,10.19,10.457,МЛ,SARIMAX
3341,5.444,10.16,10.892,МЛ,HoltWinters
3342,4.592,9.85,11.649,МЛ,SARIMAX
3343,10.736,20.08,20.765,МЛ,RandomForest
3346,7.275,7.33,8.997,МЛ,RandomForest
3347,6.141,7.22,6.463,МЛ,SARIMAX
3348,7.591,6.23,10.865,веса,"(0.33, 0.02, 0.65)"
3349,6.98,14.11,17.016,МЛ,HoltWinters
3350,12.866,10.18,9.394,старая,старая
3351,6.056,8.21,11.203,МЛ,RandomForest
3352,6.625,8.66,9.988,МЛ,HoltWinters
3354,23.129,12.77,12.357,старая,старая
3355,35.178,16.49,16.975,веса,"(0.66, 0.04, 0.30)"
3356,6.712,9.24,13.578,МЛ,SARIMAX
3357,18.018,14.65,12.426,старая,старая
3358,12.923,9.56,10.093,веса,"(0.73, 0.00, 0.27)"
3359,5.772,20.18,18.393,МЛ,HoltWinters
3360,15.735,20.78,14.95,старая,старая
3361,7.002,11.55,13.255,МЛ,HoltWinters
3363,6.857,8.8,11.538,МЛ,HoltWinters
3364,5.244,7.36,10.996,МЛ,SARIMAX
3365,29.777,12.96,20.071,веса,"(0.00, 0.01, 0.99)"
3366,6.503,11.34,12.974,МЛ,SARIMAX
3367,7.806,13.34,12.063,МЛ,RandomForest
3368,5.549,8.02,9.687,МЛ,SARIMAX
3369,9.01,149.46,24.79,МЛ,SARIMAX
3370,6.835,8.06,9.449,МЛ,RandomForest
3372,5.792,12.57,12.366,МЛ,RandomForest
3373,7.044,10.1,12.75,МЛ,SARIMAX
3374,8.411,19.18,16.517,МЛ,RandomForest
3375,13.047,25.07,24.725,МЛ,RandomForest
3377,7.141,9.87,8.947,МЛ,RandomForest
3379,9.302,15.16,15.614,МЛ,HoltWinters
3381,15.502,18.23,32.416,МЛ,SARIMAX
3388,5.844,8.75,8.377,МЛ,RandomForest
3389,5.922,14.25,37.744,МЛ,SARIMAX
3393,5.841,12.6,14.175,МЛ,RandomForest
3394,5.782,12.21,12.575,МЛ,SARIMAX
3395,15.234,100.17,16.836,МЛ,RandomForest
3396,34.922,14.92,20.566,веса,"(0.61, 0.00, 0.39)"
3397,10.918,14.58,14.039,МЛ,HoltWinters
3399,6.69,9.02,12.889,МЛ,SARIMAX
3400,8.761,10.88,12.714,МЛ,HoltWinters
3401,15.311,12.39,12.098,старая,старая
3408,6.27,214.1,32.36,МЛ,SARIMAX
3410,6.359,10.46,10.578,МЛ,RandomForest
3411,6.689,11.82,10.947,МЛ,SARIMAX
3412,9.899,14.49,13.811,МЛ,RandomForest
3415,5.847,16.53,15.908,МЛ,RandomForest
3424,5.51,12.29,13.453,МЛ,RandomForest
3425,9.067,12.88,15.465,МЛ,SARIMAX
3430,36.64,18.22,22.735,веса,"(0.11, 0.30, 0.59)"
3431,14.651,19.44,22.662,МЛ,SARIMAX
3438,6.467,8.33,9.821,МЛ,RandomForest
3441,123.159,24.31,35.26,веса,"(0.66, 0.00, 0.34)"
3442,8.027,29.85,38.173,МЛ,HoltWinters
3443,6.919,11.13,14.738,МЛ,SARIMAX
3445,8.291,9.99,10.628,МЛ,SARIMAX
3446,7.281,9.36,10.782,МЛ,SARIMAX
3447,8.18,13.1,13.389,МЛ,SARIMAX
3449,10.759,25.19,11.21,МЛ,RandomForest
3451,28.842,17.04,12.961,старая,старая
3452,6.993,12.38,11.984,МЛ,HoltWinters
3454,22.253,14.75,17.502,веса,"(0.31, 0.28, 0.41)"
3455,16.438,12.56,13.749,веса,"(0.00, 0.30, 0.70)"
3456,10.192,18.4,28.05,МЛ,RandomForest
3457,10.08,9.84,12.582,веса,"(0.21, 0.19, 0.60)"
3462,5.771,9.43,14.379,МЛ,SARIMAX
3495,32.711,23.27,18.403,старая,старая
3497,6.387,10.5,10.227,МЛ,RandomForest
3498,7.938,24.1,32.995,МЛ,SARIMAX
3504,9.462,22.9,21.617,МЛ,RandomForest
3511,136.385,37.84,64.381,веса,"(0.00, 0.17, 0.83)"
3540,9.686,10.92,13.062,МЛ,RandomForest
3543,8.111,13.18,20.937,МЛ,HoltWinters
3544,10.619,9.95,33.083,веса,"(0.00, 0.34, 0.66)"
3545,7.94,15.04,13.933,МЛ,HoltWinters
3595,11.985,9.59,10.012,веса,"(0.22, 0.27, 0.51)"
3596,10.53,13.08,12.754,МЛ,RandomForest
3605,28.444,25.84,16.591,старая,старая
3634,27.74,24.66,19.336,старая,старая
3645,9.024,23.24,14.157,МЛ,SARIMAX
3651,4.638,8.96,11.076,МЛ,SARIMAX
3654,7.87,9.57,9.842,МЛ,SARIMAX
3658,8.604,12.82,14.089,МЛ,SARIMAX
3659,8.486,9.21,10.048,МЛ,RandomForest
3660,7.3,33.77,13.504,МЛ,HoltWinters
3714,8.247,8.83,11.266,МЛ,RandomForest
3715,11.941,11.84,14.353,веса,"(0.00, 0.09, 0.91)"
3722,5.353,9.39,10.13,МЛ,HoltWinters
3725,8.336,10.29,10.807,МЛ,SARIMAX
3729,4.65,6.82,7.915,МЛ,SARIMAX
3730,5.041,10.23,13.146,МЛ,HoltWinters
3734,5.718,7.99,9.903,МЛ,HoltWinters
3739,7.283,8.67,10.731,МЛ,SARIMAX
3740,17.979,17.72,12.549,старая,старая
